ShotMarker Archived Data (generated Feb 11 2026)
Exported 26 strings from Feb 10 to Feb 19 of 2982 total in archive

Feb 19 2026,M1 R1 T11-E8,#11 (11-E8),2258 x 1721,ICFRA F-Class Long Range at 900m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,3:26.28 am,simulated,7,5,16,5,-141,2546,0,1.1,0.2,0,
,3:26.29 am,simulated,8,5,17,182,-5,2592,0.1,1.2,0.2,0,
,3:26.31 am,simulated,9,X,17,28,-11,2451,0.7,1.1,0.2,0,
,3:27.18 am,simulated,10,6,15,-90,14,2575,-0.6,1.2,0.2,0,

Feb 10 2026,David WR,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,2:47.04 am,sighter/simulated,S1,X,17,-10,1,2564,0.7,1.1,0.2,0,
,2:47.06 am,sighter/simulated,S2,4,18,114,302,2503,0.6,1.2,0.2,0,
,2:47.07 am,simulated,1,4,20,-265,62,2501,0.2,1.1,0.2,0,
,2:47.08 am,simulated,2,4,18,246,-156,2591,-1.1,1.1,0.2,0,
,2:47.10 am,simulated,3,5,19,-63,-173,2342,-0.5,1.1,0.2,0,
,2:47.11 am,simulated,4,5,19,173,32,2419,0.8,1.2,0.2,0,
,2:47.13 am,simulated,5,5,20,43,151,2617,0.6,1.2,0.2,0,
,2:47.16 am,simulated,6,5,16,-177,-5,2606,0.8,1.1,0.2,0,
,2:47.18 am,simulated,7,5,16,-91,129,2396,0.6,1.2,0.2,0,
,2:47.18 am,simulated,8,5,20,71,-124,2473,-0.5,1.1,0.2,0,
,2:47.24 am,simulated,9,X,15,33,14,2380,0.7,1.1,0.2,0,
,2:47.27 am,simulated,10,6,15,-50,51,2446,0.4,1.1,0.2,0,

Feb 10 2026,Jim,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,2:45.43 am,sighter/simulated,S1,X,16,9,1,2303,-1.1,1.1,0.2,0,
,2:45.43 am,sighter/simulated,S2,6,16,47,66,2550,0,1.2,0.2,0,
,2:45.45 am,simulated,1,6,17,-61,31,2535,0,1.2,0.2,0,
,2:45.47 am,simulated,2,5,15,-77,141,2485,0.8,1.1,0.6,0,
,2:45.48 am,simulated,3,6,17,-66,-69,2468,0.3,1.2,0.2,0,
,2:45.49 am,simulated,4,6,19,118,-44,2498,-0.9,1.1,0.2,0,
,2:45.50 am,simulated,5,6,17,99,6,2616,0.6,1.1,0.2,0,
,2:45.51 am,simulated,6,6,19,44,-74,2460,0.7,1.1,0.2,0,
,2:45.52 am,simulated,7,X,18,-18,-38,2618,0,1.1,0.2,0,
,2:45.53 am,simulated,8,6,19,-85,15,2349,0.6,1.2,0.2,0,
,2:45.54 am,simulated,9,X,17,-18,38,2329,0,1.1,0.2,0,
,2:45.55 am,simulated,10,5,20,-168,55,2557,0.8,1.1,0.2,0,

Feb 10 2026,Andrew F,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,2:45.01 am,sighter/simulated,S1,5,17,172,12,2480,0.5,1.2,0.2,0,
,2:45.02 am,sighter/simulated,S2,5,20,149,137,2402,0.3,1.2,0.2,0,
,2:45.04 am,simulated,1,X,15,-17,1,2577,-1,1.2,0.2,0,
,2:45.05 am,simulated,2,5,20,-203,80,2559,-0.5,1.2,0.2,0,
,2:45.06 am,simulated,3,5,15,10,164,2490,0.1,1.2,0.2,0,
,2:45.08 am,simulated,4,5,18,70,-121,2328,0.7,1.1,0.2,0,
,2:45.09 am,simulated,5,5,19,-167,-95,2536,-0.8,1.1,0.2,0,
,2:45.11 am,simulated,6,5,17,225,-109,2363,-1.1,1.2,0.2,0,
,2:45.12 am,simulated,7,6,17,80,41,2579,0.1,1.2,0.2,0,
,2:45.13 am,simulated,8,6,18,-78,58,2442,-1,1.1,0.2,0,
,2:45.14 am,simulated,9,6,17,-50,-68,2510,-0.6,1.1,0.2,0,
,2:45.15 am,simulated,10,6,17,83,-35,2604,0.4,1.1,0.2,0,
,2:45.16 am,simulated,1,6,17,9,78,2530,0.7,1.1,0.2,0,
,2:45.19 am,simulated,2,6,18,98,31,2601,1.1,1.1,0.2,0,
,2:45.20 am,simulated,3,5,19,137,5,2532,0.3,1.1,0.2,0,
,2:45.21 am,simulated,4,6,18,85,-49,2306,-0.3,1.1,0.2,0,

Feb 10 2026,M1 R1 TTrent-NotSet,#246 (Trent-NotSet),1725 x 1725,ICFRA-2008 F-Class Long Range at 800m,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,2:43.33 am,simulated,1,6,18,-3,88,2608,0.9,1.2,0.2,0,
,2:43.35 am,simulated,2,6,17,50,58,2616,-0.9,1.2,0.2,0,
,2:43.38 am,simulated,3,5,15,206,73,2581,0.4,1.2,0.2,0,
,2:43.39 am,simulated,4,6,20,59,-55,2323,1,1.1,0.2,0,
,2:43.41 am,simulated,5,6,15,-84,-8,2462,0,1.1,0.2,0,
,2:43.42 am,simulated,6,5,17,70,161,2494,-0.9,1.1,0.2,0,
,2:43.43 am,simulated,7,5,19,-141,64,2582,-0.3,1.2,0.2,0,
,2:43.44 am,simulated,8,X,17,-54,-38,2600,1.1,1.1,0.2,0,
,2:43.45 am,simulated,9,6,18,98,-16,2504,0.8,1.1,0.2,0,
,2:43.46 am,simulated,10,6,17,101,7,2377,0.8,1.1,0.2,0,
,2:43.48 am,simulated,1,5,18,-101,146,2424,0.5,1.1,0.2,0,
